Date,AMC - Adj Close,BB - Adj Close,GME - Adj Close,KOSS - Adj Close,SNDL - Adj Close,AMC – Volume,BB – Volume,GME – Volume,KOSS – Volume,SNDL – Volume
2021-03-25,10.9399995803833,9.88000011444092,183.75,25.7999992370605,1.22000002861023,131192800,14363900,50962300,19814700,267126900
2021-03-26,10.2399997711182,9.63000011444092,181,21.1299991607666,1.12999999523163,84633100,13197200,37430700,4595800,213655900
2021-03-29,10.3500003814697,9.19999980926514,181.300003051758,21.2000007629395,1.12000000476837,37330700,13538000,10042200,3391800,140076900
2021-03-30,10.3500003814697,9.34000015258789,194.460006713867,22.8500003814697,1.13999998569489,39020500,17569600,17094900,3474000,115712600
2021-03-31,10.210000038147,8.43000030517578,189.820007324219,22.4899997711182,1.12999999523163,29832300,32865200,8393800,1907700,198918700
2021-04-01,9.35999965667725,8.60000038146973,191.449996948242,23.2000007629395,1.10000002384186,77473900,14709900,9334300,4722200,116522000
2021-04-05,10.6099996566772,9.30000019073486,186.949996948242,23.0599994659424,1.07000005245209,96082300,18460000,14070500,1526000,124890900
2021-04-06,10.1999998092651,8.98999977111816,184.5,22.6800003051758,1.01999998092651,44067000,9807300,6218300,741600,160938400
2021-04-07,9.85000038146973,8.90999984741211,177.970001220703,21.4400005340576,1,28804300,16106100,4768300,659300,141973900
2021-04-08,9.78999996185303,9.4399995803833,170.259994506836,21.5200004577637,1.00999999046326,33408700,11406800,10047400,411500,180824900
2021-04-09,9.42000007629395,9.13000011444092,158.360000610352,20.2900009155273,1,29254600,6685200,9462400,569300,139399300
2021-04-12,8.61999988555908,9.02999973297119,141.089996337891,19.0900001525879,0.930000007152557,51269800,6501800,16683600,833300,157244700
2021-04-13,8.84000015258789,9.10000038146973,140.990005493164,19.3999996185303,0.980000019073486,44049100,6896000,6806900,401800,169554400
2021-04-14,9.35000038146973,9,166.529998779297,19.4099998474121,0.899999976158142,51166300,7711600,21138100,2080900,127298100
2021-04-15,9.89999961853027,8.77000045776367,156.440002441406,19.1800003051758,0.851999998092651,45198900,8438200,7856800,529700,178827800
2021-04-16,9.32999992370606,8.69999980926514,154.690002441406,18.9500007629395,0.847000002861023,40696700,7577500,5214700,397600,212907300
2021-04-19,9.65999984741211,8.61999988555908,164.369995117188,18.7000007629395,0.939999997615814,32814300,6377700,10520200,510900,295327200
2021-04-20,9.27999973297119,8.21000003814697,158.529998779297,18.0100002288818,0.842000007629395,27008900,12637600,4658600,275500,343275000
2021-04-21,9.77999973297119,8.65999984741211,158.509994506836,19.3700008392334,0.869000017642975,23598200,9263300,3812800,500000,199513700
2021-04-22,9.98999977111816,8.64000034332275,151.169998168945,19.1700000762939,0.833999991416931,49923500,8636300,4345800,439200,212952200
2021-04-23,10.1599998474121,8.85000038146973,151.179992675781,18.7999992370605,0.834999978542328,27465600,5426100,4029100,261500,176625700
2021-04-26,11.5,9.09000015258789,168.929992675781,20.2399997711182,0.870999991893768,78592900,8168100,10532100,1825700,244905700
2021-04-27,11.460000038147,9.28999996185303,177.770004272461,19.7900009155273,0.894999980926514,51629800,21110700,8932700,746300,254441300
2021-04-28,10.8500003814697,9.30000019073486,178.580001831055,19.5,0.939999997615814,39720500,12299900,5788900,429600,307576600
2021-04-29,10.1999998092651,9.0600004196167,176.190002441406,19.2800006866455,0.898000001907349,37782900,6870000,3760300,423200,230842500
2021-04-30,10.0299997329712,8.82999992370606,173.589996337891,18.7000007629395,0.864000022411346,27741000,6135800,4433600,919300,154793600
2021-05-03,9.71000003814697,8.60999965667725,162.199996948242,18.6000003814697,0.828000009059906,31251200,5724900,5261000,249700,203586200
2021-05-04,9.39000034332275,8.35999965667725,160.729995727539,17.9599990844727,0.790000021457672,35222400,8622900,4007500,322700,186613400
2021-05-05,9.17000007629395,8.22000026702881,159.479995727539,17.0599994659424,0.779999971389771,27608700,5292300,2805400,258300,168784200
2021-05-06,9,8.14999961853027,161.009994506836,16.6900005340576,0.712999999523163,39586300,7009600,2942800,247000,208738800
2021-05-07,9.51000022888184,8.47999954223633,161.110000610352,17.2199993133545,0.765999972820282,38245000,5591900,2934600,276800,244781500
2021-05-10,9.73999977111816,8.13000011444092,143.220001220703,16.1000003814697,0.73199999332428,41015300,5755100,4806700,300000,143665800
2021-05-11,10.0500001907349,8.30000019073486,146.919998168945,16.7700004577637,0.740000009536743,49601000,8230200,4684600,341600,199665000
2021-05-12,10.3199996948242,7.94999980926514,144.789993286133,16.3199996948242,0.703000009059906,54423500,7447300,2731500,193400,195802100
2021-05-13,12.7700004577637,7.94000005722046,164.5,18.25,0.689999997615814,296525000,13669500,8873500,5870200,224885400
2021-05-14,12.9799995422363,8.4399995803833,159.919998168945,18.5499992370605,0.707000017166138,207589900,9579300,4293500,1368800,189025100
2021-05-17,13.9499998092651,8.48999977111816,180.600006103516,18.7999992370605,0.754999995231628,158933100,5199900,7462100,2121400,183934100
2021-05-18,14.0299997329712,8.77000045776367,180.669998168945,18.2399997711182,0.790000021457672,172488400,7234400,7738700,1779400,165308800
2021-05-19,12.6400003433228,8.53999996185303,168.830001831055,17.2099990844727,0.727999985218048,89024100,5238500,4825900,535700,150498700
2021-05-20,12.5500001907349,8.77999973297119,170.490005493164,17.3400001525879,0.773999989032745,61419700,4089300,2478200,504400,178556900
2021-05-21,12.0799999237061,8.52000045776367,176.789993286133,17.1499996185303,0.754999995231628,53937700,5029000,3654700,368700,195006800
2021-05-24,13.6800003051758,8.61999988555908,180.009994506836,16.9099998474121,0.717999994754791,113319200,4336500,4664300,1327900,133253300
2021-05-25,16.4099998474121,8.59000015258789,209.429992675781,20.7800006866455,0.758000016212463,213644100,7590900,14887500,5385600,204065600
2021-05-26,19.5599994659424,9.4399995803833,242.559997558594,20.6800003051758,0.85699999332428,379064100,26504900,21119900,8739500,450701300
2021-05-27,26.5200004577637,9.97000026702881,254.130004882813,22.8199996948242,0.84500002861023,705545700,45662100,15526300,6530600,419730100
2021-05-28,26.1200008392334,10.0699996948242,222,23.0699996948242,0.97000002861023,660623600,116292700,11751400,7496000,622615300
2021-06-01,32.0400009155273,11.5600004196167,249.020004272461,24.1499996185303,1,508694600,87552400,9625600,3929700,302576400
2021-06-02,62.5499992370605,15.25,282.239990234375,40.7200012207031,1.12999999523163,766462500,346138300,16019200,19428200,404502600
2021-06-03,51.3400001525879,15.8800001144409,258.179992675781,30.8299999237061,1.28999996185303,598142200,536739400,8000000,10770100,893646700
2021-06-04,47.9099998474121,13.8599996566772,248.360000610352,26.9500007629395,1.0900000333786,337710100,174183700,3637500,3484000,375466400
2021-06-07,55,15.7700004577637,280.010009765625,27.6000003814697,1.1599999666214,349094900,197778200,6051500,6778900,259028200
2021-06-08,55.0499992370605,15.8000001907349,300,28.3299999237061,1.1599999666214,214490300,162544200,17439100,6455200,178514400
2021-06-09,49.3400001525879,15.1599998474121,302.559997558594,26.3199996948242,1.13999998569489,150361300,103503100,13429300,2951500,272385300
2021-06-10,42.810001373291,13.8900003433228,220.389999389648,24.6200008392334,1.02999997138977,224860600,68611400,22980200,1274300,188437800
2021-06-11,49.4000015258789,14.1800003051758,233.339996337891,25.2900009155273,1.04999995231628,218006600,56132800,15580800,884000,81500200
2021-06-14,57,14.0500001907349,229.440002441406,25.2800006866455,1.05999994277954,301467300,47532000,7132600,1412300,91621400
2021-06-15,59.0400009155273,13.9899997711182,222.5,24.4099998474121,1,285582100,39804700,7301900,793900,93169700
